feature,f_score,f_pvalue,mutual_info,random_forest,svm_rfe_inverse_rank,f_score_norm,mutual_info_norm,random_forest_norm,svm_rfe_norm,consensus_score,consensus_rank
sd1_sd2_ratio,34.676891130166844,5.53870278296068e-09,0.07912428134575222,0.07093018335629361,1.0,1.0,0.12037660730192969,0.9241577303151961,1.0,0.7611335844042815,1
nn_max,1.0944024273008,0.295785740249828,0.6573061254940671,0.06547470139700051,0.058823529411764705,0.03155999259543583,1.0,0.8530776119972944,0.058823529411764705,0.48586528350112373,2
nn_min,1.3025077819275586,0.2540668338996143,0.6081788111116078,0.060328074151333184,0.06666666666666667,0.03756126167822622,0.9252596127176929,0.7860215981950652,0.06666666666666667,0.45387728481441275,3
pnn20,6.896594294996118,0.008786381270087924,0.152689996967174,0.06813069964636596,0.3333333333333333,0.1988815626264861,0.23229662868637332,0.8876829266561478,0.3333333333333333,0.4130486128255851,4
sdnn,0.7798938441488393,0.3774153392566595,0.09570285681326252,0.05853463021567537,0.5,0.02249030460145194,0.14559860786528808,0.7626546054904283,0.5,0.3576858794892921,5
lf_power,0.0019843628104888197,0.9644791652283214,0.10384211476853844,0.07675116598559636,0.14285714285714285,5.7224357369295465e-05,0.15798135867132693,1.0,0.14285714285714285,0.3252239314714598,6
nn_mean,1.049259310625796,0.30595986934072283,0.14380608304787557,0.06825449659855966,0.1111111111111111,0.030258171261292866,0.21878098722993503,0.8892958917571201,0.1111111111111111,0.3123615403398648,7
pnn50,3.0901406850855895,0.07911642591263333,0.183259310885435,0.055037828622630576,0.09090909090909091,0.08911239111620793,0.27880359512500713,0.7170943648329635,0.09090909090909091,0.29397986049581737,8
nn_count,6.918479454606302,0.00868033565369764,0.08754149387683241,0.05447510030882501,0.125,0.19951267916827858,0.13318222739980015,0.709762511217721,0.125,0.29186435444645,9
sd2,0.11323806211788306,0.7365677508183357,0.14106632052249268,0.05130264261047458,0.16666666666666666,0.003265519440391029,0.21461281897602819,0.6684281854441453,0.16666666666666666,0.2632432976318078,10
rmssd,2.182253200087817,0.13996852821858444,0.11315294103650442,0.05216002073935019,0.1,0.06293105088043449,0.1721464879875454,0.6795990662752782,0.1,0.2536691512858145,11
hf_power,10.059268684274114,0.0015684726538983435,0.058091904002328,0.02888786786182589,0.2,0.29008565521385926,0.08837876561497576,0.3763834397935685,0.2,0.2387119651556009,12
sd1,1.8673289578383014,0.17213114694922316,0.11942640381591652,0.04660264314285545,0.05,0.05384937625546933,0.18169069050763695,0.6071913376742865,0.05,0.2231828511093482,13
sdsd,1.867328957840386,0.17213114694896758,0.11942640381591652,0.04465622223168884,0.047619047619047616,0.05384937625552944,0.18169069050763695,0.5818311899010019,0.047619047619047616,0.21624757607080397,14
lf_norm,5.75387856195006,0.016659984489017704,0.022797005664262793,0.03573654757615199,0.07142857142857142,0.16592832789859083,0.03468247865045731,0.4656156960906437,0.07142857142857142,0.1844137685170658,15
hf_norm,5.753878561949496,0.016659984489024122,0.022797005664262793,0.03687161024715354,0.05263157894736842,0.16592832789857456,0.03468247865045731,0.48040456159419276,0.05263157894736842,0.18341173677264827,16
ln_hf,0.6356429042677035,0.42550853310400716,0.057410282908775034,0.02826539014656054,0.25,0.018330446690901073,0.08734177376731783,0.36827310417492565,0.25,0.18098633115828613,17
triangular_index,0.7076992701577081,0.40043771214020873,0.10463231639488124,0.029784199879462545,0.07692307692307693,0.02040838284785142,0.15918354072272473,0.38806185543880917,0.07692307692307693,0.16114421398311557,18
dfa,10.943787105106193,0.000977366978286504,0.013430071621095108,0.015165769910187426,0.08333333333333333,0.31559308658975327,0.020431989145088727,0.19759660606372464,0.08333333333333333,0.154238753782975,19
lf_hf_ratio,0.44587242620600226,0.5044770918598411,0.02306391033661681,0.03820501547151329,0.0625,0.012857912335114713,0.03508853704851863,0.49777765563435344,0.0625,0.15205602625449668,20
hf_peak,3.3108296447670607,0.06916517456443838,0.018062312103585,0.008865387346387834,0.05555555555555555,0.09547654177934177,0.027479299831579054,0.11550817805232524,0.05555555555555555,0.0735048938047004,21
lf_peak,1.5412780701291962,0.21475922658561833,0.02736808617205977,0.0055798025541074926,0.045454545454545456,0.04444683533894927,0.04163674292779247,0.07269990602038066,0.045454545454545456,0.05105950743541697,22
