component,explained_variance_ratio,cumulative_explained_variance
component_1,0.38040770159557435,0.38040770159557435
component_2,0.17798625093895143,0.5583939525345258
component_3,0.0985948542875319,0.6569888068220577
component_4,0.08179473239458163,0.7387835392166393
component_5,0.052970375550655785,0.7917539147672951
component_6,0.0467094117724287,0.8384633265397238
component_7,0.035686055190380817,0.8741493817301046
component_8,0.03213000100834894,0.9062793827384535
component_9,0.025687853696083254,0.9319672364345368
component_10,0.01776525490579484,0.9497324913403317
component_11,0.01376595712688006,0.9634984484672118
component_12,0.011202682534791855,0.9747011310020036
component_13,0.01065565046598216,0.9853567814679858
component_14,0.005104724921723821,0.9904615063897096
component_15,0.003974755621965833,0.9944362620116755
component_16,0.0032611314225577935,0.9976973934342332
