feature,consensus_rank,consensus_score,selected_in_best_model,f_score,f_pvalue,mutual_info,random_forest,svm_rfe_rank,correlation,abs_correlation
nn_min,1,0.7470044793366029,True,5.898614160707445,0.015309659069173987,0.47578199914297237,0.07741492472962404,3,0.07244550209136807,0.07244550209136807
nn_max,2,0.6236311909843193,True,1.5457616584696834,0.21402288169116604,0.49656124579631666,0.07569675152350366,6,0.037157829727898314,0.037157829727898314
sd1_sd2_ratio,3,0.568543556815034,True,19.10089544825075,1.3552481883068482e-05,0.01932763029475737,0.04815027544481035,19,0.1296066731510195,0.1296066731510195
sd2,4,0.48264545237708234,True,3.841985544073964,0.05023238732787331,0.011216307696309213,0.05712986758031722,1,-0.058521037688153796,0.058521037688153796
sd1,5,0.41296963831519407,True,6.551712836988644,0.010608958791754011,0.0007082815346728388,0.041849092306752454,10,0.07632867285756893,0.07632867285756893
rmssd,6,0.4041390949409284,True,6.450356110209274,0.011227524347499001,0.03396095015288103,0.04456622040721732,13,0.07573937250745569,0.07573937250745569
sdsd,7,0.40302831478818674,True,6.55171283698911,0.010608958791751184,0.0007082815346728388,0.041519918458952934,11,0.07632867285756895,0.07632867285756895
hf_norm,8,0.39995315653255464,True,5.322715702070466,0.021231222718534015,0.003545667179030154,0.03878727113059907,8,0.06883580006077733,0.06883580006077733
nn_mean,9,0.3789034912058007,True,0.8803524239442959,0.3483078216496901,0.0288054938469382,0.05499213457767653,4,0.028050232046860878,0.028050232046860878
triangular_index,10,0.36245107497995493,True,7.034737678194931,0.008107542269885316,0.0,0.04343881445430091,17,-0.07907532536466769,0.07907532536466769
lf_power,11,0.3550448847050743,True,0.6158364861686697,0.43276494448008007,0.020872163900740537,0.0543245291994743,5,-0.023463469246729245,0.023463469246729245
lf_norm,12,0.35249362556382347,True,5.322715702071831,0.021231222718517212,0.003545667179030154,0.04153005233225304,14,-0.06883580006077734,0.06883580006077734
sdnn,13,0.3516338801841816,True,0.05513208618096716,0.8144052342300973,0.0019200351691865958,0.05749532085214702,2,0.007022158105155345,0.007022158105155345
lf_peak,14,0.28496839536308016,True,2.203319321086139,0.13799578494166348,0.0031027904299214537,0.018098256418461623,7,-0.04434965990642418,0.04434965990642418
dfa,15,0.2751864833214484,True,5.363016305035178,0.020748399957187684,0.010045227161285641,0.03842604994573982,22,-0.06909466217438168,0.06909466217438168
nn_count,16,0.26127695477256047,True,2.9891964846781724,0.08409781139278978,0.011259850006651195,0.03178694322211392,16,-0.05163884476000857,0.05163884476000857
pnn20,17,0.2585494359226249,True,0.4830618880872528,0.4871830917362511,0.0,0.046999431333377695,12,-0.020781968463702827,0.020781968463702827
hf_power,18,0.24975456049464903,True,0.09367058455107992,0.7596186049234291,0.0,0.04156283184520108,9,0.009152980154694675,0.009152980154694675
lf_hf_ratio,19,0.23599667262850837,True,2.6115504217475545,0.10637012331559033,0.0017806838347538267,0.041094717689291835,20,-0.04827493085072357,0.04827493085072357
ln_hf,20,0.1823493587309819,True,0.0015569439899021,0.9685321799743123,0.0,0.04172074163164286,15,0.0011800904396811543,0.0011800904396811543
pnn50,21,0.1708320131764903,True,0.056138916770015146,0.8127494400052618,0.010968712405399206,0.042360357511517614,18,0.007085984678407267,0.007085984678407267
hf_peak,22,0.11254077609792848,True,0.4559850446532024,0.4996460014546573,0.010005874057297248,0.021055497405024663,21,0.020191372947647186,0.020191372947647186
