feature,group_0_mean,group_0_std,group_0_n,group_1_mean,group_1_std,group_1_n,u_statistic,p_value,rank_biserial,significance
nn_count,40.84107142857143,6.530081124610503,560,41.43035714285714,4.73431577391877,560,155715.5,0.8409312077619955,-0.006916454081632661,
nn_mean,713.5047583847733,93.29200150589963,560,708.3238696960815,91.4920082661874,560,162444.0,0.2970995539202116,0.03599489795918376,
nn_min,623.1885981421159,82.98034745994465,560,611.2269040514361,81.84209762365795,560,170858.0,0.009397496575465307,0.08965561224489793,**
nn_max,823.821786217527,144.108474535505,560,813.9527040360518,120.49261847379431,560,160206.5,0.529160460698354,0.021725127551020407,
sdnn,48.84897475332287,32.57794051111731,560,48.45675662638356,22.388518981400996,560,147628.0,0.09017135848136801,-0.05849489795918372,
sdsd,46.33325275760308,42.280206128201705,560,41.51309311595882,14.08112061431367,560,153670.0,0.5631321021510134,-0.01996173469387752,
rmssd,45.58792457393344,40.092565805218584,560,41.03398043193513,13.893546996960465,560,153629.0,0.5580297042767779,-0.020223214285714275,
pnn20,44.15802390694953,15.716118172999908,560,44.82273273128465,16.285384041518267,560,151123.0,0.2942693687328328,-0.03620535714285711,
pnn50,23.06801410272285,14.268724349855539,560,22.869494050048132,13.767004239401542,560,155258.0,0.7757892556348716,-0.009834183673469443,
triangular_index,5.237469616933695,1.8586305198055089,560,5.581470531542457,2.442473139216896,560,148269.5,0.11500241724361793,-0.05440369897959185,
lf_power,449.4703104003669,606.6322772429361,556,474.3691861857585,511.8359395969242,560,140690.0,0.005363936437959221,-0.09628725590955811,**
hf_power,378.3399498931917,572.7227661525611,556,368.31249627511016,388.59791212469815,560,154882.0,0.8822347107253063,-0.005125899280575497,
lf_hf_ratio,1.4924483756606208,1.3671956368180262,556,1.6538552143881178,1.9796547323828138,560,145281.0,0.05341648923753155,-0.0667972764645427,
lf_norm,50.951865723501136,19.25516563800125,556,53.47908115078008,17.243834185985385,560,145281.0,0.05341648923753155,-0.0667972764645427,
hf_norm,49.048134276498864,19.25516563800125,556,46.52091884921992,17.243834185985385,560,166079.0,0.05341648923753155,0.06679727646454259,
ln_hf,5.455096508533365,0.9305894314315012,556,5.452561364595129,0.9810341626593739,560,154882.0,0.8822347107253063,-0.005125899280575497,
lf_peak,0.10358120953483847,0.034062450534287296,556,0.10680992215314027,0.033970400312862914,560,149082.0,0.21184093362304401,-0.0423818088386434,
hf_peak,0.23657250948594366,0.04801768950468603,556,0.23444804119987472,0.04686721749762305,560,160060.5,0.4054678836080604,0.0281378468653648,
n_samples,116.43928571428572,10.22081216331618,560,117.5125,1.4808935198634383,560,154569.0,0.6742312554524243,-0.014228316326530654,
sd1,32.76255721933144,29.89662046321645,560,29.35418965032306,9.95685587308688,560,153670.0,0.5631321021510134,-0.01996173469387752,
sd2,53.60187014401577,30.46867477396265,560,57.201511352241894,30.988813863881706,560,144731.0,0.025765097640639573,-0.0769706632653061,*
sd1_sd2_ratio,0.6733577096081358,0.3722287568699927,560,0.5937451187804537,0.21741215544172035,560,174853.0,0.0008520215005725929,0.11513392857142857,***
dfa,1.1692748540531268,0.3364933230686146,546,1.2153389452224168,0.34109982598322564,560,140560.0,0.020360657821921275,-0.08058608058608063,*
